Iniciando GA (Orçamento: 225000 avaliações)...
Geração 0000 | Melhor Custo: 4991.0 | Tempo Decorrido: 0.00s
Geração 0100 | Melhor Custo: 2070.0 | Tempo Decorrido: 0.28s
Geração 0200 | Melhor Custo: 2020.0 | Tempo Decorrido: 0.49s
Geração 0300 | Melhor Custo: 2020.0 | Tempo Decorrido: 0.73s
Geração 0400 | Melhor Custo: 2020.0 | Tempo Decorrido: 0.95s
Geração 0500 | Melhor Custo: 2020.0 | Tempo Decorrido: 1.17s
Geração 0600 | Melhor Custo: 2020.0 | Tempo Decorrido: 1.39s
Geração 0700 | Melhor Custo: 2020.0 | Tempo Decorrido: 1.63s
Geração 0800 | Melhor Custo: 2020.0 | Tempo Decorrido: 1.91s
Geração 0900 | Melhor Custo: 2020.0 | Tempo Decorrido: 2.13s
Geração 1000 | Melhor Custo: 2020.0 | Tempo Decorrido: 2.37s
Geração 1100 | Melhor Custo: 2020.0 | Tempo Decorrido: 2.60s
Geração 1200 | Melhor Custo: 2020.0 | Tempo Decorrido: 2.83s
Geração 1300 | Melhor Custo: 2020.0 | Tempo Decorrido: 3.06s
Geração 1400 | Melhor Custo: 2020.0 | Tempo Decorrido: 3.31s
