Ciclo 0000 | Temp: 2000.00 | Melhor Custo: 4647.0 | Tempo Decorrido: 0.0000s
Ciclo 0005 | Temp: 1547.56 | Melhor Custo: 4647.0 | Tempo Decorrido: 0.0026s
Ciclo 0010 | Temp: 1197.47 | Melhor Custo: 4647.0 | Tempo Decorrido: 0.0036s
Ciclo 0015 | Temp:  926.58 | Melhor Custo: 4647.0 | Tempo Decorrido: 0.0057s
Ciclo 0020 | Temp:  716.97 | Melhor Custo: 4647.0 | Tempo Decorrido: 0.0066s
Ciclo 0025 | Temp:  554.78 | Melhor Custo: 4647.0 | Tempo Decorrido: 0.0077s
Ciclo 0030 | Temp:  429.28 | Melhor Custo: 4647.0 | Tempo Decorrido: 0.0091s
Ciclo 0035 | Temp:  332.17 | Melhor Custo: 4169.0 | Tempo Decorrido: 0.0101s
Ciclo 0040 | Temp:  257.02 | Melhor Custo: 4096.0 | Tempo Decorrido: 0.0121s
Ciclo 0045 | Temp:  198.88 | Melhor Custo: 4096.0 | Tempo Decorrido: 0.0131s
Ciclo 0050 | Temp:  153.89 | Melhor Custo: 3935.0 | Tempo Decorrido: 0.0141s
Ciclo 0055 | Temp:  119.08 | Melhor Custo: 3935.0 | Tempo Decorrido: 0.0162s
Ciclo 0060 | Temp:   92.14 | Melhor Custo: 3805.0 | Tempo Decorrido: 0.0172s
Ciclo 0065 | Temp:   71.30 | Melhor Custo: 3444.0 | Tempo Decorrido: 0.0192s
Ciclo 0070 | Temp:   55.17 | Melhor Custo: 2893.0 | Tempo Decorrido: 0.0202s
Ciclo 0075 | Temp:   42.69 | Melhor Custo: 2744.0 | Tempo Decorrido: 0.0212s
Ciclo 0080 | Temp:   33.03 | Melhor Custo: 2744.0 | Tempo Decorrido: 0.0225s
Ciclo 0085 | Temp:   25.56 | Melhor Custo: 2405.0 | Tempo Decorrido: 0.0245s
Ciclo 0090 | Temp:   19.78 | Melhor Custo: 2191.0 | Tempo Decorrido: 0.0255s
Ciclo 0095 | Temp:   15.30 | Melhor Custo: 2156.0 | Tempo Decorrido: 0.0265s
Ciclo 0100 | Temp:   11.84 | Melhor Custo: 2080.0 | Tempo Decorrido: 0.0275s
Ciclo 0105 | Temp:    9.16 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0290s
Ciclo 0110 | Temp:    7.09 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0310s
Ciclo 0115 | Temp:    5.49 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0323s
Ciclo 0120 | Temp:    4.24 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0333s
Ciclo 0125 | Temp:    3.28 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0343s
Ciclo 0130 | Temp:    2.54 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0359s
Ciclo 0135 | Temp:    1.97 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0379s
Ciclo 0140 | Temp:    1.52 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0389s
Ciclo 0145 | Temp:    1.18 | Melhor Custo: 2026.0 | Tempo Decorrido: 0.0399s
