Ciclo 0000 | Temp: 2000.00 | Melhor Custo: 5037.0 | Tempo Decorrido: 0.0010s
Ciclo 0005 | Temp: 1547.56 | Melhor Custo: 5037.0 | Tempo Decorrido: 0.0025s
Ciclo 0010 | Temp: 1197.47 | Melhor Custo: 4687.0 | Tempo Decorrido: 0.0046s
Ciclo 0015 | Temp:  926.58 | Melhor Custo: 4687.0 | Tempo Decorrido: 0.0056s
Ciclo 0020 | Temp:  716.97 | Melhor Custo: 4687.0 | Tempo Decorrido: 0.0066s
Ciclo 0025 | Temp:  554.78 | Melhor Custo: 4314.0 | Tempo Decorrido: 0.0076s
Ciclo 0030 | Temp:  429.28 | Melhor Custo: 4314.0 | Tempo Decorrido: 0.0088s
Ciclo 0035 | Temp:  332.17 | Melhor Custo: 4314.0 | Tempo Decorrido: 0.0109s
Ciclo 0040 | Temp:  257.02 | Melhor Custo: 4314.0 | Tempo Decorrido: 0.0123s
Ciclo 0045 | Temp:  198.88 | Melhor Custo: 4314.0 | Tempo Decorrido: 0.0123s
Ciclo 0050 | Temp:  153.89 | Melhor Custo: 3831.0 | Tempo Decorrido: 0.0148s
Ciclo 0055 | Temp:  119.08 | Melhor Custo: 3794.0 | Tempo Decorrido: 0.0158s
Ciclo 0060 | Temp:   92.14 | Melhor Custo: 3450.0 | Tempo Decorrido: 0.0182s
Ciclo 0065 | Temp:   71.30 | Melhor Custo: 3450.0 | Tempo Decorrido: 0.0192s
Ciclo 0070 | Temp:   55.17 | Melhor Custo: 3450.0 | Tempo Decorrido: 0.0207s
Ciclo 0075 | Temp:   42.69 | Melhor Custo: 2977.0 | Tempo Decorrido: 0.0217s
Ciclo 0080 | Temp:   33.03 | Melhor Custo: 2625.0 | Tempo Decorrido: 0.0237s
Ciclo 0085 | Temp:   25.56 | Melhor Custo: 2541.0 | Tempo Decorrido: 0.0248s
Ciclo 0090 | Temp:   19.78 | Melhor Custo: 2421.0 | Tempo Decorrido: 0.0268s
Ciclo 0095 | Temp:   15.30 | Melhor Custo: 2220.0 | Tempo Decorrido: 0.0278s
Ciclo 0100 | Temp:   11.84 | Melhor Custo: 2220.0 | Tempo Decorrido: 0.0288s
Ciclo 0105 | Temp:    9.16 | Melhor Custo: 2146.0 | Tempo Decorrido: 0.0298s
Ciclo 0110 | Temp:    7.09 | Melhor Custo: 2146.0 | Tempo Decorrido: 0.0320s
Ciclo 0115 | Temp:    5.49 | Melhor Custo: 2146.0 | Tempo Decorrido: 0.0330s
Ciclo 0120 | Temp:    4.24 | Melhor Custo: 2146.0 | Tempo Decorrido: 0.0351s
Ciclo 0125 | Temp:    3.28 | Melhor Custo: 2138.0 | Tempo Decorrido: 0.0371s
Ciclo 0130 | Temp:    2.54 | Melhor Custo: 2138.0 | Tempo Decorrido: 0.0381s
Ciclo 0135 | Temp:    1.97 | Melhor Custo: 2138.0 | Tempo Decorrido: 0.0401s
Ciclo 0140 | Temp:    1.52 | Melhor Custo: 2138.0 | Tempo Decorrido: 0.0416s
Ciclo 0145 | Temp:    1.18 | Melhor Custo: 2138.0 | Tempo Decorrido: 0.0442s
