Ciclo 0000 | Temp: 10000.00 | Melhor Custo: 4995.0 | Tempo Decorrido: 0.0006s
Ciclo 0001 | Temp: 9500.00 | Melhor Custo: 4995.0 | Tempo Decorrido: 0.0026s
Ciclo 0002 | Temp: 9025.00 | Melhor Custo: 4995.0 | Tempo Decorrido: 0.0039s
Ciclo 0003 | Temp: 8573.75 | Melhor Custo: 4912.0 | Tempo Decorrido: 0.0045s
Ciclo 0004 | Temp: 8145.06 | Melhor Custo: 4581.0 | Tempo Decorrido: 0.0050s
Ciclo 0005 | Temp: 7737.81 | Melhor Custo: 4581.0 | Tempo Decorrido: 0.0057s
Ciclo 0006 | Temp: 7350.92 | Melhor Custo: 4581.0 | Tempo Decorrido: 0.0063s
Ciclo 0007 | Temp: 6983.37 | Melhor Custo: 4581.0 | Tempo Decorrido: 0.0070s
Ciclo 0008 | Temp: 6634.20 | Melhor Custo: 4581.0 | Tempo Decorrido: 0.0076s
Ciclo 0009 | Temp: 6302.49 | Melhor Custo: 4581.0 | Tempo Decorrido: 0.0082s
Ciclo 0010 | Temp: 5987.37 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0088s
Ciclo 0011 | Temp: 5688.00 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0094s
Ciclo 0012 | Temp: 5403.60 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0099s
Ciclo 0013 | Temp: 5133.42 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0104s
Ciclo 0014 | Temp: 4876.75 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0109s
Ciclo 0015 | Temp: 4632.91 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0123s
Ciclo 0016 | Temp: 4401.27 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0138s
Ciclo 0017 | Temp: 4181.20 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0150s
Ciclo 0018 | Temp: 3972.14 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0164s
Ciclo 0019 | Temp: 3773.54 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0177s
Ciclo 0020 | Temp: 3584.86 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0184s
Ciclo 0021 | Temp: 3405.62 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0193s
Ciclo 0022 | Temp: 3235.34 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0207s
Ciclo 0023 | Temp: 3073.57 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0216s
Ciclo 0024 | Temp: 2919.89 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0222s
Ciclo 0025 | Temp: 2773.90 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0228s
Ciclo 0026 | Temp: 2635.20 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0232s
Ciclo 0027 | Temp: 2503.44 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0237s
Ciclo 0028 | Temp: 2378.27 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0242s
Ciclo 0029 | Temp: 2259.36 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0247s
Ciclo 0030 | Temp: 2146.39 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0251s
Ciclo 0031 | Temp: 2039.07 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0257s
Ciclo 0032 | Temp: 1937.11 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0267s
Ciclo 0033 | Temp: 1840.26 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0274s
Ciclo 0034 | Temp: 1748.25 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0279s
